timestamp,phase,gpu,power_w,sm_util_pct,mem_util_pct,mem_used_mib,mem_total_mib,temp_c,pcie_tx_kib,pcie_rx_kib,clock_sm_mhz,clock_mem_mhz
1774914210.447,loading,0,62.4,0,0,768,81920,36,350,450,210,1593
1774914210.447,loading,1,86.8,0,0,1187,81920,37,300,300,1155,1593
1774914210.447,loading,2,86.2,0,0,1187,81920,35,300,300,1155,1593
1774914210.447,loading,3,84.7,0,0,1187,81920,36,350,250,1155,1593
1774914210.447,loading,4,92.1,0,0,1187,81920,49,350,300,1155,1593
1774914210.447,loading,5,87.2,0,0,1187,81920,48,300,300,1155,1593
1774914210.447,loading,6,92.2,0,0,1187,81920,47,300,300,1155,1593
1774914210.447,loading,7,87.8,2,0,1187,81920,48,300,300,1155,1593
1774914213.791,loading,0,62.0,0,0,768,81920,35,350,300,210,1593
1774914213.791,loading,1,86.8,0,0,1187,81920,37,350,250,1155,1593
1774914213.791,loading,2,86.2,0,0,1187,81920,35,300,250,1155,1593
1774914213.791,loading,3,84.7,0,0,1187,81920,36,300,300,1155,1593
1774914213.791,loading,4,91.7,0,0,1187,81920,49,500,300,1155,1593
1774914213.791,loading,5,87.3,0,0,1187,81920,48,300,300,1155,1593
1774914213.791,loading,6,92.0,0,0,1187,81920,47,300,250,1155,1593
1774914213.791,loading,7,87.8,0,0,1187,81920,48,300,300,1155,1593
1774914214.993,loading,0,83.6,0,0,16505,81920,36,650,350,1155,1593
1774914214.993,loading,1,86.5,0,0,16505,81920,37,300,350,1155,1593
1774914214.993,loading,2,86.2,0,0,17507,81920,35,350,1279700,1155,1593
1774914214.993,loading,3,85.6,0,0,17509,81920,36,213900,2227000,1395,1593
1774914214.993,loading,4,92.1,0,0,16505,81920,49,506900,4395150,1155,1593
1774914214.993,loading,5,87.2,0,0,16505,81920,48,218100,1856050,1155,1593
1774914214.993,loading,6,92.0,2,0,16929,81920,47,304650,2520750,1155,1593
1774914214.993,loading,7,88.1,0,0,16881,81920,48,644800,5777200,1185,1593
1774914215.994,loading,0,111.9,65,0,16505,81920,38,160900,1403100,1410,1593
1774914215.994,loading,1,117.6,100,0,16507,81920,38,348050,4096100,1410,1593
1774914215.994,loading,2,117.6,100,0,17509,81920,37,237450,2848150,1410,1593
1774914215.994,loading,3,112.8,98,0,17509,81920,37,211750,2070400,1410,1593
1774914215.994,loading,4,104.7,45,0,16507,81920,49,466600,3024800,1290,1593
1774914215.994,loading,5,103.3,46,0,16507,81920,48,371900,3305150,1335,1593
1774914215.994,loading,6,123.5,27,0,16931,81920,48,355200,3094300,1410,1593
1774914215.994,loading,7,117.4,38,0,16883,81920,49,361250,3637650,1410,1593
1774914216.994,loading,0,111.9,43,0,16507,81920,38,454550,3945450,1410,1593
1774914216.994,loading,1,117.6,46,0,16507,81920,38,231600,2409300,1410,1593
1774914216.994,loading,2,118.0,44,0,17509,81920,37,431950,3133750,1410,1593
1774914216.994,loading,3,112.5,59,0,17509,81920,37,208000,1837050,1410,1593
1774914216.994,loading,4,105.0,24,0,16507,81920,49,299850,2869350,1290,1593
1774914216.994,loading,5,117.0,40,0,16507,81920,49,211600,1568550,1410,1593
1774914216.994,loading,6,123.8,46,0,16931,81920,48,262900,4593100,1410,1593
1774914216.994,loading,7,117.8,42,0,16883,81920,49,262950,2165250,1410,1593
1774914217.994,loading,0,111.9,79,0,16507,81920,38,230100,1336900,1410,1593
1774914217.994,loading,1,117.3,84,0,16507,81920,38,175450,1804900,1410,1593
1774914217.994,loading,2,118.0,83,0,17509,81920,37,238400,2632700,1410,1593
1774914217.994,loading,3,112.5,89,0,17509,81920,37,135800,1400500,1410,1593
1774914217.994,loading,4,114.7,42,0,16507,81920,49,279150,2588550,1365,1593
1774914217.994,loading,5,117.0,44,0,16507,81920,49,192450,3386500,1410,1593
1774914217.994,loading,6,123.8,48,0,16931,81920,48,262450,3808950,1410,1593
1774914217.994,loading,7,117.8,44,0,16883,81920,49,199550,1232500,1410,1593
1774914218.995,loading,0,111.9,82,0,16507,81920,38,263450,2139050,1410,1593
1774914218.995,loading,1,117.3,88,0,16507,81920,38,187250,1878500,1410,1593
1774914218.995,loading,2,117.6,87,0,17509,81920,37,324050,2201400,1410,1593
1774914218.995,loading,3,112.5,78,0,17509,81920,37,524950,3525450,1410,1593
1774914218.995,loading,4,124.4,42,0,16507,81920,50,275750,2554000,1410,1593
1774914218.995,loading,5,117.0,40,0,16507,81920,49,367350,2856800,1410,1593
1774914218.995,loading,6,123.2,32,0,16931,81920,48,256500,3004850,1410,1593
1774914218.995,loading,7,117.4,45,0,16883,81920,49,386650,4561150,1410,1593
1774914219.998,loading,0,111.9,79,0,16507,81920,38,293450,2359800,1410,1593
1774914219.998,loading,1,117.3,73,0,16507,81920,38,215650,1877900,1410,1593
1774914219.998,loading,2,117.6,76,0,17509,81920,37,296350,2385100,1410,1593
1774914219.998,loading,3,112.5,81,0,17509,81920,37,383700,2589400,1410,1593
1774914219.998,loading,4,124.4,35,0,16507,81920,49,380300,3879400,1410,1593
1774914219.998,loading,5,116.7,48,0,16507,81920,49,316750,2857250,1410,1593
1774914219.998,loading,6,123.5,52,0,16931,81920,48,288000,2240650,1410,1593
1774914219.998,loading,7,117.4,36,0,16883,81920,49,401650,784400,1410,1593
1774914221.013,loading,0,111.9,53,0,16507,81920,38,361800,1807600,1410,1593
