timestamp,phase,sys_power_w,gpu0_bmc_temp_c,gpu1_bmc_temp_c,gpu2_bmc_temp_c,gpu3_bmc_temp_c,gpu4_bmc_temp_c,gpu5_bmc_temp_c,gpu6_bmc_temp_c,gpu7_bmc_temp_c
1775287994.726,init,2550,32,30,31,33,34,31,31,33
1775287996.726,warmup,2625,32,30,31,34,35,32,31,34
1775287998.726,warmup,2625,32,30,31,34,35,32,31,34
1775288000.726,warmup,2625,32,30,31,34,35,32,31,34
1775288002.727,warmup,2625,32,31,31,34,35,32,31,34
1775288004.727,warmup,2625,32,31,31,34,35,32,31,34
1775288006.727,warmup,2625,32,31,31,34,35,32,31,34
1775288008.730,warmup,2625,31,31,31,34,35,32,31,34
1775288010.730,warmup,2625,31,31,31,34,35,32,31,34
1775288012.730,warmup,2625,33,31,31,34,35,31,31,34
1775288014.730,warmup,2625,33,31,31,34,35,31,31,34
1775288016.730,warmup,2625,33,31,31,34,35,31,31,34
1775288018.730,warmup,2625,33,30,31,34,35,31,31,34
1775288020.730,warmup,2550,33,30,31,34,35,31,31,34
1775288022.730,warmup,2550,33,30,31,34,35,31,31,34
1775288024.730,warmup,2550,33,30,31,34,35,31,31,34
1775288026.730,warmup,5325,52,47,48,51,54,49,47,51
1775288028.731,warmup,5850,52,46,47,51,54,49,47,51
1775288030.731,warmup,5625,55,49,50,55,57,52,50,54
1775288032.731,warmup,5625,55,49,50,55,57,52,50,54
1775288034.731,warmup,8550,57,50,47,54,55,50,48,53
1775288036.731,warmup,8250,58,53,46,54,55,50,48,53
1775288038.731,warmup,8100,58,50,47,57,57,48,50,52
1775288040.731,warmup,8100,58,50,47,57,57,48,50,52
1775288042.731,warmup,8100,58,50,47,57,57,48,50,52
1775288044.731,warmup,7500,61,49,48,56,62,50,52,52
1775288046.731,steady,5475,61,52,52,60,62,55,54,57
1775288048.731,steady,5475,61,52,52,60,62,55,54,57
1775288050.731,steady,5475,61,52,52,60,62,55,54,57
1775288052.732,steady,5400,62,54,53,62,63,55,54,60
1775288054.732,steady,5550,63,53,53,63,65,56,55,60
1775288056.732,steady,5550,63,53,53,63,65,56,55,60
