timestamp,phase,gpu,power_w,sm_util_pct,mem_util_pct,mem_used_mib,mem_total_mib,temp_c,pcie_tx_kib,pcie_rx_kib,clock_sm_mhz,clock_mem_mhz
1774913862.067,warmup,0,87.9,5,3,16693,81920,33,5050,23750,1155,1593
1774913862.067,warmup,1,89.6,5,2,16709,81920,33,2800,12500,1155,1593
1774913862.067,warmup,2,87.4,5,3,16706,81920,32,4200,23150,1155,1593
1774913862.067,warmup,3,86.2,4,2,18717,81920,32,1950,115900,1155,1593
1774913862.067,warmup,4,91.5,5,3,16708,81920,38,1300,8600,1155,1593
1774913862.067,warmup,5,86.6,5,2,16708,81920,38,3450,7600,1155,1593
1774913862.067,warmup,6,90.4,5,2,17111,81920,37,1500,7450,1155,1593
1774913862.067,warmup,7,88.1,5,2,17156,81920,38,5200,14300,1155,1593
1774913863.067,warmup,0,86.0,5,2,16693,81920,33,1600,7900,1155,1593
1774913863.067,warmup,1,90.5,6,3,17111,81920,33,1150,7200,1155,1593
1774913863.067,warmup,2,88.3,5,2,17109,81920,32,1500,5800,1155,1593
1774913863.067,warmup,3,87.1,7,3,19113,81920,32,1350,6900,1155,1593
1774913863.067,warmup,4,89.9,12,2,17111,81920,39,1500,6500,1155,1593
1774913863.067,warmup,5,87.2,7,3,17111,81920,38,1450,5600,1155,1593
1774913863.067,warmup,6,92.0,5,2,17111,81920,37,1550,6350,1155,1593
1774913863.067,warmup,7,86.3,6,2,17559,81920,38,1400,7300,1155,1593
1774913864.067,warmup,0,87.0,5,3,16693,81920,33,1600,6650,1155,1593
1774913864.067,warmup,1,92.4,5,3,17111,81920,33,1200,5800,1155,1593
1774913864.067,warmup,2,88.9,5,3,17109,81920,32,1500,5800,1155,1593
1774913864.067,warmup,3,90.7,4,2,19113,81920,32,1600,6350,1155,1593
1774913864.067,warmup,4,89.6,5,2,17111,81920,38,1350,6450,1155,1593
1774913864.067,warmup,5,86.3,5,2,17111,81920,38,1600,6200,1155,1593
1774913864.067,warmup,6,91.0,5,3,17111,81920,37,1450,6550,1155,1593
1774913864.067,warmup,7,85.7,5,3,17559,81920,38,1550,6600,1155,1593
1774913865.067,warmup,0,88.5,5,2,16693,81920,33,1600,5700,1155,1593
1774913865.067,warmup,1,89.6,5,2,17111,81920,33,1600,6600,1155,1593
1774913865.067,warmup,2,87.7,4,2,17109,81920,32,1350,7200,1155,1593
1774913865.067,warmup,3,88.0,5,3,19113,81920,32,1300,6700,1155,1593
1774913865.067,warmup,4,89.9,5,3,17111,81920,38,1400,7300,1155,1593
1774913865.067,warmup,5,86.6,5,3,17111,81920,38,1550,6050,1155,1593
1774913865.067,warmup,6,91.0,5,2,17111,81920,37,1500,7750,1155,1593
1774913865.067,warmup,7,88.1,5,3,17559,81920,38,1500,6850,1155,1593
1774913866.067,warmup,0,89.7,5,2,16693,81920,33,1300,6250,1155,1593
1774913866.067,warmup,1,90.8,5,3,17111,81920,33,1150,6550,1155,1593
1774913866.067,warmup,2,88.0,5,3,17109,81920,32,1450,6150,1155,1593
1774913866.067,warmup,3,90.1,5,2,19113,81920,32,1550,5700,1155,1593
1774913866.067,warmup,4,88.1,4,2,17111,81920,39,1350,5900,1155,1593
1774913866.067,warmup,5,86.3,5,2,17111,81920,38,1550,6450,1155,1593
1774913866.067,warmup,6,90.4,5,3,17111,81920,37,1550,6250,1155,1593
1774913866.067,warmup,7,85.7,5,2,17559,81920,38,2500,6650,1155,1593
1774913867.067,warmup,0,86.4,5,2,16693,81920,33,1300,6000,1155,1593
1774913867.067,warmup,1,90.2,5,2,17111,81920,33,1200,6900,1155,1593
1774913867.067,warmup,2,90.1,5,3,17109,81920,32,1300,6400,1155,1593
1774913867.067,warmup,3,92.0,5,3,19113,81920,32,1400,7700,1155,1593
1774913867.067,warmup,4,89.6,5,3,17111,81920,38,1300,6000,1155,1593
1774913867.067,warmup,5,87.5,5,2,17111,81920,38,1650,6350,1155,1593
1774913867.067,warmup,6,90.7,5,3,17111,81920,37,1450,6450,1155,1593
1774913867.067,warmup,7,85.7,5,3,17559,81920,38,2700,5750,1155,1593
1774913868.067,warmup,0,87.6,5,3,16693,81920,33,1450,6550,1155,1593
1774913868.067,warmup,1,89.9,5,2,17111,81920,33,1300,5700,1155,1593
1774913868.067,warmup,2,90.7,5,2,17109,81920,32,1400,6450,1155,1593
1774913868.067,warmup,3,89.2,5,3,19113,81920,32,1350,6450,1155,1593
1774913868.067,warmup,4,89.3,5,2,17111,81920,39,1400,6450,1155,1593
1774913868.067,warmup,5,88.7,5,3,17111,81920,38,1600,6200,1155,1593
1774913868.067,warmup,6,91.6,5,2,17111,81920,37,1300,6600,1155,1593
